category,title,text
tech,Title 0,sample text
business,Title 1,sample text
politics,Title 2,sample text
entertainment,Title 3,sample text
sport,Title 4,sample text
tech,Title 5,sample text
business,Title 6,sample text
politics,Title 7,sample text
entertainment,Title 8,sample text
sport,Title 9,sample text
tech,Title 10,sample text
business,Title 11,sample text
politics,Title 12,sample text
entertainment,Title 13,sample text
sport,Title 14,sample text
tech,Title 15,sample text
business,Title 16,sample text
politics,Title 17,sample text
entertainment,Title 18,sample text
sport,Title 19,sample text
